dataset;num_classes;arch;attack_type;pruning_rate;lr;batch_size;wm_batch_size;num_epochs;trg_set_size;loadmodel;save_file;wm_type;method;cuda;test_acc;wm_acc;attack_time
cifar10;10;resnet18;pruning;0.7;0.1;64;32;1;100;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.31089783;100;0.151288271
cifar10;10;resnet18;pruning;0.8;0.1;64;32;1;100;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;89.38301086;94;0.159768343
cifar10;10;resnet18;pruning;0.9;0.1;64;32;1;100;wm_protecting_noise_resnet18_192_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;13.75200367;13;0.148351431
cifar10;10;resnet34;pruning;0.1;0.1;64;32;1;100;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.23236847;100;0.253921747
cifar10;10;resnet34;pruning;0.2;0.1;64;32;1;100;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.23236847;100;0.254513741
cifar10;10;resnet34;pruning;0.3;0.1;64;32;1;100;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.23236847;100;0.232974291
cifar10;10;resnet34;pruning;0.4;0.1;64;32;1;100;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.24238586;100;0.262864351
cifar10;10;resnet34;pruning;0.5;0.1;64;32;1;100;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.23236847;100;0.251880884
cifar10;10;resnet34;pruning;0.6;0.1;64;32;1;100;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.24238586;100;0.265918016
cifar10;10;resnet34;pruning;0.7;0.1;64;32;1;100;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;95.03205109;100;0.265641928
cifar10;10;resnet34;pruning;0.8;0.1;64;32;1;100;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;94.57131195;100;0.29716754
cifar10;10;resnet34;pruning;0.9;0.1;64;32;1;100;wm_protecting_noise_resnet34_195_SGD_CosineAnnealingLR_100;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;85.33654022;85;0.27168417
cifar10;10;densenet;pruning;0.1;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.99038696;100;0.077306986
cifar10;10;densenet;pruning;0.2;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.99038696;100;0.080456018
cifar10;10;densenet;pruning;0.3;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.99038696;100;0.121372461
cifar10;10;densenet;pruning;0.4;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.99038696;100;0.080483913
cifar10;10;densenet;pruning;0.5;0.1;64;32;1;500;wm_protecting_noise_densenet_200_SGD_CosineAnnealingLR_500;save_results_attacks.csv;noise;ProtectingIPP;cuda:0;93.99038696;100;0.08473444
